# Title: A Search for L/T Transition Dwarfs With Pan-STARRS1 and WISE.
#        III. Young L Dwarf Discoveries and Proper Motion Catalogs
#        in Taurus and Scorpius-Centaurus
# Authors: William M. J. Best, Michael C. Liu, Eugene A. Magnier,
#          Brendan P. Bowler, Kimberly M. Aller, Zhoujian Zhang,
#          Michael C. Kotson, W. S. Burgett, K. C. Chambers,
#          P. Draper, H. Flewelling, K. W. Hodapp, N. Kaiser,
#          N. Metcalfe, R. J. Wainscoat, C. Waters
# Accepted by ApJ
# arXiv: 1702.00789
# 
# Table: Proper Motions of Upper Scorpius Members (Table 9)
# Version: 2017-01-31
# 
# ================================================================================
# Notes:
# - This table contains 482 rows and 14 columns.
# - Fields with no data are filled with "NaN".
#
# - The objects in this table are taken from the catalogs of
#   Luhman & Mamajek (2014), Dawson et al. (2014), and Rizzuto et al. (2015),
#   except for PSO J237.1470-23.1489 and PSO J239.7015-23.2665 which are new
#   discoveries presented in this paper.  We adopt a photometric precision floor
#   of 0.01 mag for the PS1 photometry, following the analysis of
#   Schlafly et al. (2012).  The errors reported in the PS1 database are formal
#   errors that do not include systematics, and are often smaller.
# 
# ================================================================================
# Column descriptions:
#  N  Label         Format   Units   Description
#  1  Name          string           Name used in the object's discovery or spectral confirmation paper
#  2  i_p1          float    mag     PS1 i magnitude
#  3  i_err         float    mag     Error in PS1 i magnitude
#  4  z_p1          float    mag     PS1 z magnitude
#  5  z_err         float    mag     Error in PS1 z magnitude
#  6  y_p1          float    mag     PS1 y magnitude
#  7  y_err         float    mag     Error in PS1 y magnitude
#  8  mu_ra         float    mas/yr  Proper motion in Right Ascension [mu_ra * cos(dec)]
#  9  emu_ra        float    mas/yr  Error in proper motion in Right Ascension
# 10  mu_de         float    mas/yr  Proper motion in Declination
# 11  emu_de        float    mas/yr  Error in proper motion in Declination
# 12  rchisq        float            Reduced chi-squared of the proper motion fit
# 13  n_ep          integer          Number of epochs used in the proper motion fit
# 14  d_time        float    years   Time baseline of the proper moton fit
# 
# ================================================================================
# ======================  Reliable fits: 0.3 < rchisq < 40  ======================
# ================================================================================
#                   Name    i_p1  i_err    z_p1  z_err    y_p1  y_err    mu_ra  emu_ra    mu_de  emu_de  rchisq  n_ep  d_time
 2MASS_J15582981-2310077   14.96   0.01   14.08   0.01   13.67   0.01     -9.4     1.5    -18.0     4.9     3.6    66    15.7
 2MASS_J15583162-2402538   16.07   0.03   15.16   0.01   14.65   0.01    -13.5     4.2    -21.1     4.2     9.1    45    15.1
 2MASS_J15583598-2348136   15.88   0.01   14.96   0.01   14.46   0.01    -10.3     3.0    -24.2     2.4      23    68    15.1
 2MASS_J15584813-2141338   16.49   0.01   15.51   0.01   15.00   0.01    -21.9     1.7    -30.0     4.0     2.1    45    15.7
   PSO_J239.7016-23.2664   20.88   0.05   19.26   0.01   18.24   0.02     -0.1     7.2    -23.0     3.5     0.7    38    15.7
 2MASS_J15590193-2616329   14.84   0.01   13.97   0.01   13.52   0.01    -13.7     1.2    -17.1     5.4     2.8    50    16.5
 2MASS_J15591135-2338002   17.89   0.01   16.66   0.01   15.97   0.01    -11.0     1.1    -20.9     2.3     3.1    56    14.6
 2MASS_J15591244-2236502   15.64   0.01   14.73   0.01   14.21   0.01    -10.7     2.1    -16.7     2.9     4.8    60    14.6
 2MASS_J15591513-2840411   15.58   0.01   14.79   0.01   14.39   0.01    -13.9     2.2    -16.5     2.2     4.0    61    16.5
 2MASS_J15592591-2305081   15.64   0.01   14.58   0.01   14.01   0.01     -9.1     1.6    -27.3     1.9     2.4    60    15.1
 2MASS_J15594366-2014396   17.93   0.01   16.63   0.01   15.87   0.01    -11.9     2.3    -24.0     2.0     2.0    54    15.1
 2MASS_J15594439-1928191   18.37   0.01   17.02   0.01   16.25   0.01    -23.6    16.0    -20.2     3.3      23    41    15.1
 2MASS_J15594802-2227162   17.80   0.01   16.56   0.01   15.85   0.01     -9.8     2.0    -16.3     3.2     1.4    57    15.7
 2MASS_J15594970-2301576   15.74   0.01   14.78   0.01   14.25   0.01     -5.7     1.9    -21.4     1.9     2.2    68    15.1
 2MASS_J15595868-1836520   16.83   0.01   15.67   0.01   15.05   0.01     -7.6     3.0    -16.9     1.8     1.5    61    15.7
 2MASS_J16000713-2224066   15.86   0.01   15.17   0.01   14.83   0.01    -26.4     2.1     -3.2     1.7     3.3    55    15.7
 2MASS_J16001610-1726071   18.04   0.01   16.78   0.01   16.07   0.01     -8.5     1.2    -10.6     1.9     1.4    84    16.7
 2MASS_J16001730-2236504     NaN    NaN     NaN    NaN   12.61   0.04    -16.4     7.7    -30.0    11.8      13    40    15.7
 2MASS_J16001944-2256287   18.33   0.01   17.00   0.01   16.24   0.01    -11.0     2.1    -19.2     4.8     1.5    56    15.7
 2MASS_J16002323-2329595   18.40   0.02   17.04   0.01   16.23   0.02     51.4    32.0    -46.1    16.0      23    36    15.7
 2MASS_J16002631-2259412   15.31   0.01   14.32   0.01   13.78   0.01    -10.0     1.8    -23.5     2.0     2.7    69    15.1
 2MASS_J16002669-2056316   16.45   0.01   15.50   0.01   14.97   0.01     -3.4     3.1    -11.1     5.5     7.0    75    15.7
 2MASS_J16003023-2334457   15.85   0.01   14.83   0.01   14.30   0.01    -10.8     1.1    -15.6     2.7     2.7    57    15.7
 2MASS_J16004318-2229143   19.17   0.01   17.77   0.01   17.00   0.01    -10.8     1.6    -17.2     3.4     1.5    54    15.7
 2MASS_J16005065-1927502   15.71   0.01   14.61   0.02   13.95   0.01     -4.2     2.1    -18.1     2.2     4.5    69    15.1
