# Title: A Search for L/T Transition Dwarfs With Pan-STARRS1 and WISE.
#        III. Young L Dwarf Discoveries and Proper Motion Catalogs
#        in Taurus and Scorpius-Centaurus
# Authors: William M. J. Best, Michael C. Liu, Eugene A. Magnier,
#          Brendan P. Bowler, Kimberly M. Aller, Zhoujian Zhang,
#          Michael C. Kotson, W. S. Burgett, K. C. Chambers,
#          P. Draper, H. Flewelling, K. W. Hodapp, N. Kaiser,
#          N. Metcalfe, R. J. Wainscoat, C. Waters
# Accepted by ApJ
# arXiv: 1702.00789
# 
# Table: Proper Motions of Upper Scorpius Members (Table 9)
# Version: 2017-01-31
# 
# ================================================================================
# Notes:
# - This table contains 482 rows and 14 columns.
# - Fields with no data are filled with "NaN".
#
# - The objects in this table are taken from the catalogs of
#   Luhman & Mamajek (2014), Dawson et al. (2014), and Rizzuto et al. (2015),
#   except for PSO J237.1470-23.1489 and PSO J239.7015-23.2665 which are new
#   discoveries presented in this paper.  We adopt a photometric precision floor
#   of 0.01 mag for the PS1 photometry, following the analysis of
#   Schlafly et al. (2012).  The errors reported in the PS1 database are formal
#   errors that do not include systematics, and are often smaller.
# 
# ================================================================================
# Column descriptions:
#  N  Label         Format   Units   Description
#  1  Name          string           Name used in the object's discovery or spectral confirmation paper
#  2  i_p1          float    mag     PS1 i magnitude
#  3  i_err         float    mag     Error in PS1 i magnitude
#  4  z_p1          float    mag     PS1 z magnitude
#  5  z_err         float    mag     Error in PS1 z magnitude
#  6  y_p1          float    mag     PS1 y magnitude
#  7  y_err         float    mag     Error in PS1 y magnitude
#  8  mu_ra         float    mas/yr  Proper motion in Right Ascension [mu_ra * cos(dec)]
#  9  emu_ra        float    mas/yr  Error in proper motion in Right Ascension
# 10  mu_de         float    mas/yr  Proper motion in Declination
# 11  emu_de        float    mas/yr  Error in proper motion in Declination
# 12  rchisq        float            Reduced chi-squared of the proper motion fit
# 13  n_ep          integer          Number of epochs used in the proper motion fit
# 14  d_time        float    years   Time baseline of the proper moton fit
# 
# ================================================================================
# ======================  Reliable fits: 0.3 < rchisq < 40  ======================
# ================================================================================
#                   Name    i_p1  i_err    z_p1  z_err    y_p1  y_err    mu_ra  emu_ra    mu_de  emu_de  rchisq  n_ep  d_time
 2MASS_J16134264-2301279   16.98   0.01   15.91   0.01   15.31   0.01     -5.3     1.6    -14.8     3.6     1.4    84    15.7
 2MASS_J16134490-2434143     NaN    NaN     NaN    NaN   12.58   0.01     -6.5     2.4    -19.2     5.9     4.1    55    16.5
 2MASS_J16134880-2509006   16.84   0.01   15.75   0.01   15.19   0.01     -5.3     1.9    -18.3     3.8     1.6    70    16.5
 2MASS_J16135765-2053447   17.18   0.01   16.12   0.01   15.54   0.01    -22.8     2.8    -30.4     1.8     1.4    56    15.1
 2MASS_J16140514-2042017   18.04   0.02   16.79   0.01   16.09   0.01     -9.4     2.4    -18.8     2.4     1.4    56    15.1
 2MASS_J16141352-2244578   15.03   0.01   14.22   0.01   13.81   0.01    -10.8     7.5    -13.8     7.5      31    70    15.7
 2MASS_J16141484-2427081   15.66   0.01   14.58   0.01   14.00   0.01      0.5     2.6    -20.1     2.3     7.6    71    16.5
 2MASS_J16141974-2428404   17.13   0.01   16.01   0.01   15.37   0.01     -9.9     2.8    -15.0     3.4     5.1    49    16.5
 2MASS_J16142144-2339146   18.53   0.01   17.31   0.01   16.64   0.01    -16.0     3.2    -15.9     2.9     2.5    51    15.1
 2MASS_J16142312-2219338   14.82   0.01   13.86   0.01   13.30   0.01     -2.8     3.3    -19.6     3.4      10    56    15.7
 2MASS_J16142478-1733329   18.86   0.01   17.47   0.01   16.68   0.01    -11.1     2.5    -22.0     2.7     2.1    45    15.2
 2MASS_J16143287-2242133   17.81   0.01   16.57   0.01   15.90   0.01     -4.4     7.0    -18.7     6.7     3.7    53    15.7
 2MASS_J16143751-1858240   14.92   0.01   14.27   0.01   13.95   0.01    -20.6     2.2    -33.9     4.5      14    75    15.7
 2MASS_J16144169-2351058   20.96   0.05   19.29   0.01   18.23   0.03    -15.6     7.7    -16.2     7.2     1.3    30    15.1
 2MASS_J16145258-2017133   19.59   0.02   18.07   0.01   17.19   0.01     -1.2     4.9    -16.6     3.0     2.5    51    15.7
 2MASS_J16145392-2504305   14.94   0.01   14.09   0.01   13.64   0.01     -5.2     1.5    -22.0     4.0     2.5    51    16.5
 2MASS_J16145928-2459308   14.80   0.01   13.99   0.01   13.55   0.01     -7.3     1.9    -17.8     1.7     2.8    45    16.5
 2MASS_J16150524-2459351   15.63   0.01   14.64   0.01   14.09   0.01     -5.4     1.9    -21.2     2.3     3.7    57    15.9
 2MASS_J16150702-2535528   17.63   0.01   16.44   0.01   15.78   0.01     -9.0     1.7    -17.3     1.9     1.4    73    15.9
 2MASS_J16150891-2345048   14.89   0.01   14.08   0.01   13.68   0.01     -9.3     2.0    -17.4     2.4     3.5    58    15.7
 2MASS_J16151116-2420153   17.43   0.01   16.39   0.01   15.78   0.01     -7.9     1.9    -12.1     4.6     1.7    52    16.5
 2MASS_J16151239-2420091   15.97   0.01   15.06   0.01   14.57   0.01    -14.0     2.1    -19.3     2.4     2.1    53    15.9
 2MASS_J16151361-2304261   18.30   0.01   17.11   0.01   16.45   0.01    -14.4     1.5    -17.2     3.4     1.7    56    15.7
 2MASS_J16151602-2345103   15.31   0.01   14.36   0.01   13.83   0.01     -6.8     3.1    -17.4     8.1     7.1    56    15.7
 2MASS_J16151667-2340462   20.44   0.03   18.71   0.01   17.70   0.01     -8.0     5.0    -19.5     4.6     1.1    35    15.1
 2MASS_J16152009-2333545   16.24   0.01   15.15   0.01   14.53   0.01     -2.3     2.1    -20.9     2.0     1.7    61    15.1
 2MASS_J16152750-2627281   14.76   0.01   14.01   0.01   13.60   0.01     -3.6     2.5    -15.6     2.8     4.3    51    16.5
 2MASS_J16152819-2315439   15.88   0.01   15.04   0.01   14.60   0.01    -13.5     1.2    -24.5     4.2     2.2    79    15.7
 2MASS_J16153648-2315175   16.92   0.01   15.98   0.01   15.49   0.01     -7.9     1.6    -23.3     1.6     1.8    54    15.1
 2MASS_J16153844-2341558   14.93   0.01   14.11   0.01   13.69   0.01     -7.9     5.3    -12.2     6.0     8.3    86    15.7
 2MASS_J16153866-2240371   15.51   0.01   14.57   0.01   14.10   0.01    -10.1     5.6    -17.1     4.6     7.5    60    15.7
 2MASS_J16153913-1917005   15.13   0.01   14.04   0.01   13.42   0.01     -2.8     1.1    -22.4     2.2     3.3    89    15.1
 2MASS_J16155507-2444365   16.92   0.01   15.73   0.01   15.05   0.01     -9.6     2.4    -25.2     3.5     2.5    49    15.9
 2MASS_J16155926-2329363   14.94   0.01   14.11   0.01   13.69   0.01    -10.4     1.4    -16.3     2.6     3.2    78    15.7
 2MASS_J16160080-2214192   14.72   0.01   13.80   0.01   13.34   0.01     -6.3     1.5    -16.0     2.2     2.8    57    15.7
 2MASS_J16161183-2316268   15.60   0.01   14.70   0.01   14.25   0.01    -11.0     1.6    -24.1     2.3     2.4    61    15.1
 2MASS_J16161948-2405301   15.63   0.01   14.75   0.01   14.29   0.01     -9.2     1.7    -20.4     2.1     3.6    70    15.9
 2MASS_J16162399-2408301   16.16   0.01   15.20   0.01   14.67   0.01    -10.4     3.5    -18.1     3.4     7.4    64    15.9
 2MASS_J16162531-2412057   16.60   0.01   15.65   0.02   15.03   0.01     -8.1     1.3    -13.2     3.3     1.6    62    16.5
 2MASS_J16162598-2112227   17.36   0.01   16.33   0.01   15.78   0.01    -11.7     2.8     -8.5     3.1     3.1    51    15.7
 2MASS_J16163068-2512201   15.95   0.01   14.96   0.01   14.46   0.01     -8.2     1.7    -16.2     1.9     3.3    65    15.9
 2MASS_J16163226-2205201   16.81   0.01   15.76   0.01   15.20   0.01     -3.7     2.3    -17.8     2.4     1.8    43    15.1
 2MASS_J16163343-2327210   15.23   0.01   14.27   0.01   13.76   0.01    -15.9     3.2    -19.2     2.2      15    84    15.1
 2MASS_J16163345-2521505     NaN    NaN     NaN    NaN   12.60   0.01     -6.8     2.8    -20.5     3.1     3.1    56    16.5
 2MASS_J16163503-2057551   15.28   0.01   14.27   0.01   13.73   0.01     -6.6     1.3    -24.4     1.7     1.9    74    15.1
 2MASS_J16164539-2333413   16.82   0.01   15.82   0.01   15.30   0.01    -13.2     1.5    -29.9     1.8     1.9   102    15.1
 2MASS_J16165158-2048537   14.77   0.01   13.95   0.01   13.53   0.01     -5.4     2.6    -15.3     2.7     6.6    59    15.7
 2MASS_J16165430-2459590   14.56   0.01   13.75   0.01   13.30   0.01     -8.2     2.9    -14.8     8.3      23    67    16.5
 2MASS_J16170606-2225414   14.79   0.01   13.98   0.01   13.58   0.01     -7.5     2.3     -0.6     4.5     7.9    58    15.1
 2MASS_J16171901-2137129   16.69   0.01   15.63   0.01   15.03   0.01     -3.6     1.5    -21.2     1.9     2.1    76    15.1
 2MASS_J16172505-2350380   17.09   0.01   16.01   0.01   15.40   0.01     -4.5     1.5    -16.9     4.6     1.7    58    15.7
 2MASS_J16173103-2050469   16.49   0.01   15.31   0.01   14.65   0.01     -5.9     2.1    -23.6     2.3     2.7    68    15.1
 2MASS_J16173236-2040362   18.06   0.01   16.85   0.01   16.11   0.01     -1.2     2.2    -14.3     2.4     1.4    55    15.1
 2MASS_J16173786-2119159   14.96   0.01   14.11   0.01   13.68   0.01    -12.3     1.2    -20.4     2.7     2.2    65    15.7
 2MASS_J16174366-2111552   17.11   0.01   16.30   0.01   15.87   0.01     -7.7     2.3     -8.5     2.3     1.2    55    15.1
 2MASS_J16174539-2353360   17.53   0.01   16.33   0.01   15.66   0.01     -7.1     5.6    -29.6     2.4     3.8    55    15.9
 2MASS_J16174583-2414436   16.72   0.01   15.72   0.01   15.16   0.01     -2.5     1.3    -20.0     1.8     3.4    57    16.5
 2MASS_J16181201-2413326   15.82   0.01   14.81   0.01   14.26   0.01     -6.2     2.1    -11.3     2.7     3.6    67    15.9
 2MASS_J16181568-2347084   16.24   0.01   15.00   0.01   14.29   0.01    -27.4     6.9    -28.6     2.1     3.8    73    15.7
 2MASS_J16181600-2437266   14.79   0.01   13.78   0.01   13.24   0.01     -4.2     1.6    -17.8     2.1     2.1    57    15.9
 2MASS_J16181618-2619080   15.41   0.01   14.41   0.01   13.84   0.01    -18.5     3.5    -22.7     2.0      10    70    15.9
 2MASS_J16181904-2028479   15.35   0.01   14.36   0.01   13.82   0.01     -1.4     1.7    -20.6     1.8     2.1    78    15.1
 2MASS_J16182082-2401502   18.46   0.01   17.24   0.01   16.56   0.01     -9.3     2.2    -23.6     2.6     1.4    54    15.9
 2MASS_J16182501-2338106   17.23   0.01   16.08   0.01   15.45   0.01     -7.0     2.0    -25.1     1.8     1.5    78    15.1
 2MASS_J16183317-2517504   16.21   0.01   15.07   0.02   14.37   0.01     39.1    20.8     30.7    23.2      24    62    16.5
 2MASS_J16183618-2425333   14.82   0.01   13.97   0.01   13.52   0.01     -1.3     2.8    -15.8     3.3     2.2    69    16.5
 2MASS_J16184074-2209482   17.22   0.01   16.05   0.01   15.38   0.01    -11.3     3.5    -21.9     2.4     4.4    50    15.7
 2MASS_J16184955-2541499   19.11   0.01   17.82   0.01   17.04   0.01     -4.0     4.9    -14.1     4.0     1.9    55    16.5
 2MASS_J16185037-2424319   16.84   0.01   15.77   0.01   15.16   0.01     -6.6     1.9    -27.0     1.6     1.5    57    15.9
 2MASS_J16185430-2346075   18.88   0.01   17.65   0.01   16.92   0.01     -6.0     1.6    -15.5     4.5     1.0    46    15.7
 2MASS_J16190341-2344085   17.98   0.01   16.72   0.01   16.01   0.01     -6.7     1.4    -24.3     4.5     1.6    61    15.7
 2MASS_J16190474-2307526   16.21   0.01   15.14   0.01   14.56   0.01      2.6     3.1    -27.7     4.2     3.6    52    15.1
 2MASS_J16191521-2417241   15.22   0.01   14.24   0.01   13.70   0.01    -14.1     1.2    -15.3     2.8     1.8    59    16.5
 2MASS_J16191646-2347235   18.95   0.01   17.58   0.01   16.78   0.01     -7.6     1.5    -14.3     1.8     1.2    75    15.7
 2MASS_J16192634-2412444   16.93   0.01   15.80   0.01   15.18   0.01     -9.7     2.0     -8.9     8.1     4.7    62    16.5
 2MASS_J16192988-2440469   18.39   0.01   16.90   0.01   16.07   0.01     -7.4     1.2    -24.4     3.7     1.5    59    16.5
 2MASS_J16192992-2425540   14.63   0.01   13.70   0.01   13.21   0.01     -7.3     1.5    -23.6     2.3     2.7    77    15.9
 2MASS_J16193976-2145349   16.58   0.01   15.43   0.01   14.77   0.01     -5.1     1.6    -22.7     2.4     3.4    59    15.1
 2MASS_J16194210-2504323   18.87   0.01   17.58   0.01   16.86   0.01    -15.7     8.0    -12.5     6.2      15    62    16.5
 2MASS_J16194309-2216175   14.73   0.01   13.99   0.01   13.62   0.01    -15.0     3.4    -18.8     4.1     2.5    70    15.7
 2MASS_J16194836-2212519     NaN    NaN     NaN    NaN   12.53   0.01     -6.5     1.8    -14.6     5.4     5.2    77    15.7
 2MASS_J16195143-2241332   18.28   0.01   16.99   0.01   16.21   0.01     -5.3     1.5    -13.2     5.6     1.8    51    15.7
 2MASS_J16195827-2832276   20.98   0.04   19.37   0.02   18.27   0.03    -17.7     6.5    -19.9     6.5     0.9    49    15.7
 2MASS_J16200757-2359150   16.76   0.01   15.55   0.01   14.87   0.01    -14.4     3.7    -22.7     2.0     2.8    63    14.4
 2MASS_J16201318-2425014   16.25   0.01   15.49   0.01   15.10   0.01     -3.7     2.0     -5.8     1.2     4.2    61    14.8
 2MASS_J16202128-2120289   16.65   0.01   15.55   0.01   14.90   0.01     -5.6     1.0    -16.6     3.6     1.3    67    15.7
 2MASS_J16202163-2005348   14.94   0.01   14.03   0.01   13.56   0.01    -16.5     2.8    -23.9     3.6      10    76    15.1
 2MASS_J16202523-2316033   17.89   0.01   16.72   0.01   16.08   0.01     -9.5     1.3    -20.3     2.0     1.7    60    15.7
 2MASS_J16203456-2430205   18.93   0.01   17.26   0.01   16.29   0.01      8.0     7.5    -18.7     3.7     5.7    38    14.2
 2MASS_J16204144-2425491   18.44   0.01   17.08   0.01   16.29   0.01    -11.8     3.3    -15.2     2.0     1.5    60    14.8
 2MASS_J16210222-2358395   18.87   0.01   17.51   0.01   16.70   0.01     -7.4     2.6    -16.7     3.0     2.9    54    15.7
 2MASS_J16211563-2436117   14.54   0.01   13.95   0.01   13.67   0.01    -27.7     1.8    -15.9     1.6     3.9    64    15.5
 2MASS_J16211920-2425525   15.75   0.01   14.66   0.01   14.00   0.01     -0.5     1.6    -14.5     1.6     1.8    70    15.1
 2MASS_J16212488-2426145   16.17   0.01   15.15   0.01   14.57   0.01     -6.5     2.4    -17.3     1.0     2.3    74    15.5
 2MASS_J16212953-2529431     NaN    NaN     NaN    NaN   12.54   0.01     -5.1     2.1    -18.8     2.3     2.3    77    15.5
 2MASS_J16212961-2129038   15.02   0.01   14.07   0.01   13.61   0.01     -3.1     3.0    -18.7    11.6      21    71    15.7
 2MASS_J16213591-2355035   17.65   0.01   16.40   0.01   15.67   0.01     -9.6     1.3    -17.8     2.2     1.6    72    15.7
 2MASS_J16214853-2517266     NaN    NaN     NaN    NaN   12.53   0.01     -8.1     1.9    -20.0     1.4     1.2    58    16.8
 2MASS_J16215975-2706366   14.68   0.01   13.91   0.01   13.51   0.01     -9.0     1.6    -22.1     2.2     2.5    66    16.2
 2MASS_J16221693-1825131     NaN    NaN     NaN    NaN   17.80   0.04    -25.9    14.2     -0.6    11.2      24    14    14.3
 2MASS_J16222160-2217307   16.56   0.01   15.51   0.01   14.96   0.01    -22.7     3.3    -18.6     2.6     4.0    66    15.1
 2MASS_J16222521-2405139   18.27   0.01   17.00   0.01   16.23   0.01    -13.9     1.7     -3.4     6.2     3.7    62    16.8
 2MASS_J16223834-2541017   18.50   0.01   17.28   0.03   16.53   0.02     -8.8     4.0    -13.0     3.4     1.6    59    16.8
 2MASS_J16224385-1951057   16.63   0.01   15.14   0.01   14.25   0.01      3.2     4.1    -21.4     2.9     7.2    51    15.7
 2MASS_J16230646-2528419   19.09   0.01   17.71   0.01   16.90   0.01    -14.9     2.6    -24.4     2.6     1.0    50    16.0
 2MASS_J16232202-2609553   18.88   0.02   17.66   0.01   16.89   0.03     -6.8     2.6    -18.5     4.5     1.2    49    16.8
 2MASS_J16235155-2317270   17.43   0.01   16.07   0.01   15.24   0.01    -14.1     9.4    -26.7     4.1     3.9    59    15.7
 2MASS_J16235470-2438319   17.23   0.01   15.94   0.01   15.17   0.01     -2.2     2.7    -17.0     4.3     1.4    61    16.8
 2MASS_J16250277-3006556   18.31   0.01   17.14   0.01   16.50   0.01     -7.0     4.2    -22.3     6.7     4.2    50    16.5
 2MASS_J16252860-1658509   17.44   0.01   16.14   0.01   15.40   0.01     -6.3     3.2     -8.5     2.5     1.6    63    16.7
 2MASS_J16252969-2214543   16.52   0.01   15.42   0.01   14.82   0.01     -5.9     2.0    -15.7     1.8     1.7    51    15.7
 2MASS_J16253274-2611386   14.63   0.01   13.76   0.01   13.30   0.01     -7.1     4.8    -14.6     4.6      11    90    16.5
 2MASS_J16253672-2224285   17.03   0.01   15.88   0.01   15.16   0.01     -5.2     2.7    -15.8     7.4     2.1    47    15.7
 2MASS_J16254322-2230026   15.98   0.01   15.02   0.01   14.49   0.01     -5.9     3.1    -18.2     2.3     3.1    58    15.7
 2MASS_J16254808-2154195   14.63   0.01   13.87   0.01   13.46   0.01     -9.4     2.4    -18.6     3.6     2.6    72    15.7
 2MASS_J16255066-2155454   17.24   0.01   16.26   0.01   15.74   0.01    -16.1    13.2    -24.1     2.2      11    66    15.7
 2MASS_J16260625-2334030   16.90   0.01   15.69   0.01   14.96   0.01      2.0     2.7    -31.9     3.5     3.3    80    15.3
 2MASS_J16263026-2336551   17.68   0.03   16.27   0.01   15.50   0.04     -3.5     1.1    -16.9     4.5     1.4    55    15.7
 2MASS_J16263276-2622589   14.50   0.01   13.49   0.01   12.92   0.01     -6.8     1.8    -27.2     4.9     4.5    53    15.1
 2MASS_J16265619-2213519   16.84   0.01   15.72   0.01   15.05   0.01     -7.9     1.8    -20.6     2.3     1.6    62    15.3
 2MASS_J16270217-2542346   18.98   0.01   17.59   0.01   16.72   0.01    -10.2     1.7    -13.0     2.7     1.1    32    15.7
 2MASS_J16270942-2148457   16.30   0.01   15.22   0.03   14.79   0.02     -8.7     1.7    -18.4     1.7     2.4    70    15.7
 2MASS_J16272034-2844302   18.47   0.01   17.31   0.04   16.54   0.01    -30.5    10.5    -34.7     5.1      18    57    15.3
 2MASS_J16272553-2138036   15.10   0.01   14.24   0.01   13.80   0.01     -7.6     1.3    -17.7     3.7     2.8    69    15.7
 2MASS_J16274799-2457134   17.47   0.01   16.19   0.01   15.42   0.01     -6.7     1.8    -21.6     1.9     1.1    64    15.3
 2MASS_J16281808-2428358   16.61   0.01   15.30   0.01   14.54   0.01     -3.5     1.3    -25.2     1.9     1.1    62    15.7
 2MASS_J16284703-2428138   16.65   0.04   15.81   0.01   15.19   0.02     -6.6     1.6    -18.5     1.9     1.9    58    15.7
 2MASS_J16292211-1742091   15.41   0.01   14.49   0.01   14.02   0.01    -25.0     7.5    -22.3     2.2     6.3    61    16.7
 2MASS_J16293624-2456527   16.51   0.01   15.52   0.01   14.90   0.01    -12.8     4.2    -19.5     2.6     4.6    80    15.7
 2MASS_J16293662-1708413   14.83   0.01   13.94   0.01   13.47   0.01     -2.3     1.2    -19.5     3.7     2.5    75    16.7
 2MASS_J16293934-1614570   14.54   0.01   13.89   0.01   13.57   0.01    -26.2     2.4     -6.0     2.2     5.2    72    16.7
 2MASS_J16294879-2137086   15.50   0.01   14.55   0.01   14.02   0.01     -4.0     5.5    -17.6     4.7      15    64    15.7
 2MASS_J16302673-2359087   16.07   0.01   14.95   0.02   14.30   0.01     -1.5     1.8    -24.4     4.0     3.0    61    15.1
 2MASS_J16303390-2428062   14.72   0.01   13.76   0.01   13.22   0.01     -4.3     1.7    -19.3     1.9     1.8    63    15.1
 2MASS_J16305349-2424538   15.69   0.01   14.61   0.01   13.99   0.01     -1.6     2.1    -21.9     1.6     1.9    79    16.1
 2MASS_J16310240-2408431   14.73   0.01   13.78   0.01   13.24   0.01      0.9     1.8    -22.0     2.1     2.3    69    16.1
 2MASS_J16313519-2542261   18.41   0.01   17.05   0.01   16.26   0.01    -11.8     5.9    -18.7     8.1     4.1    43    14.6
 2MASS_J16320136-2237081   17.70   0.01   16.50   0.01   15.78   0.01     -5.1     2.3    -17.2     3.7     2.2    55    16.0
 2MASS_J16324221-2316562   14.66   0.01   13.66   0.01   13.14   0.01    -16.6     2.3    -34.1     1.7     2.7    62    16.2
 2MASS_J16324727-2059375   16.55   0.01   15.53   0.02   14.97   0.01    -12.4     8.0    -17.3     3.0      19    65    16.6
 2MASS_J16332000-2741076   17.80   0.01   16.71   0.01   16.12   0.01    -13.2     2.2    -17.8     1.8     2.4    54    16.5
 2MASS_J16342850-2201119   16.81   0.01   15.64   0.01   14.99   0.01     -8.9     1.8    -25.8     2.2     1.9    62    16.1
 2MASS_J16370753-2432395   19.35   0.01   17.69   0.01   16.67   0.01     -2.9     2.4    -13.6     4.1     1.3    50    16.5
# ================================================================================
# ===============  Unreliable fits: rchisq <= 0.3 or rchisq >= 40  ===============
# ================================================================================
 2MASS_J16002535-2644060   16.03   0.01   15.09   0.01   14.54   0.01    -23.2     6.0     19.9    21.0      64    64    15.9
 2MASS_J16070211-2019387   15.74   0.02   14.82   0.04   14.35   0.04    102.4    41.2     48.9    28.7      89    79    15.7
 2MASS_J16090405-1934000   14.85   0.02   14.02   0.03   13.49   0.01    -70.2    36.1     95.5    54.7     130    65    15.7
 2MASS_J16125723-2428013   15.80   0.01   14.89   0.01   14.41   0.01     -8.5     5.8      1.0    31.0     110    70    16.5
 2MASS_J16273320-2821097     NaN    NaN     NaN    NaN   12.67   0.01    -17.2    11.7     -9.8     7.3      58    65    15.7
